"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5746","API Signup Test - testuser001","chromium","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5578","GET API Test - Get Products","chromium","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","8369","API Signup Test - testuser002","webkit","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5538","API Signup Test - testuser003","chromium","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5592","API Signup Test - testuser001","webkit","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","15710","API Signup Test - testuser003","firefox","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5823","GET API Test - Get Products","webkit","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5648","API Signup Test - testuser001","firefox","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5642","API Signup Test - testuser003","webkit","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5554","GET API Test - Get Products","firefox","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5640","API Signup Test - testuser002","chromium","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
"","5606","API Signup Test - testuser002","firefox","2026-09-07","passed","2026-09-07","@smoke Demoblaze API Tests - DDT","api\apiTest.spec.js","",""
